,att_cat,att_name,att_price,score
1493,recommended_experiences,maligne_lake_cruise,82.95,5.0
793,tours_&_sightseeing,full-day_niagara_ice_wine_festival_tour_with_lunch_and_winery_visits,395.0,4.6603287852598285
1049,family_friendly,medieval_times_dinner_and_tournament_toronto,68.99,4.490677062263249
614,tours_&_sightseeing,ultimate_day_tour_to_victoria,363.56,4.443576803905704
1372,recommended_experiences,ultimate_day_tour_to_victoria,363.56,4.052756426758854
461,outdoor_activities,3_hour_whale_watching_tour,129.0,3.989886359457173
1541,recommended_experiences,overnight_camping_and_river-rafting_trip_in_squamish,425.24,3.968601743223861
210,day_trips_&_excursions,ultimate_day_tour_to_victoria,363.56,3.7063561932257
1181,luxury_&_special_occasions,3_hour_whale_watching_tour,129.0,3.60773785443713
87,"cruises,_sailing_&_water_tours",maligne_lake_cruise,82.95,3.3281232760839985
829,transfers_&_ground_transport,private_arrival_transfer:_calgary_international_airport_to_banff,528.26,2.500202272810857
1201,luxury_&_special_occasions,lift_your_spirits!_distillery_and_cocktail_experience,105.0,2.346934647493656
396,sightseeing_tickets_&_passes,ultimate_day_tour_to_victoria,363.56,2.336627353719981
1175,luxury_&_special_occasions,ultimate_day_tour_to_victoria,363.56,2.32751775058843
64,"cruises,_sailing_&_water_tours",3_hour_whale_watching_tour,129.0,2.0995917766908168
1500,recommended_experiences,6-hour_eagle_viewing_river_float_trip_from_vancouver_with_lunch,157.49,2.0375675775072635
6,featured_tours_and_tickets,whistler_small-group_day_trip_from_vancouver,145.0,1.7896546651465557
907,walking_&_biking_tours,little_italy_walking_food_tour_in_vancouver,73.0,1.683393201105145
1422,recommended_experiences,flavors_of_old_montreal_walking_tour,68.0,1.6727323608914713
1071,family_friendly,3_hour_whale_watching_tour,129.0,1.667463498951859
467,outdoor_activities,2_hour_banff_horseback_riding_adventure,124.95,1.5187404035342575
436,outdoor_activities,ultimate_day_tour_to_victoria,363.56,1.515802994327167
1057,family_friendly,ultimate_day_tour_to_victoria,363.56,1.4725877243389356
861,walking_&_biking_tours,ultimate_day_tour_to_victoria,363.56,1.3355927167996764
604,tours_&_sightseeing,5.5-hour_jasper_wildlife_and_waterfalls_tour_with_maligne_lake_cruise_from_jasper,144.59,1.126369004794785
440,outdoor_activities,jasper_to_banff_one-way_tour,257.25,1.116832804282667
638,tours_&_sightseeing,3_hour_whale_watching_tour,129.0,1.103379794785039
53,"cruises,_sailing_&_water_tours",ultimate_day_tour_to_victoria,363.56,1.0782672948999668
497,outdoor_activities,small-group_capilano_suspension_bridge_and_vancouver_city_tour,200.0,1.076937221874885
868,walking_&_biking_tours,vancouver_biking_and_hiking_tour_including_lunch,135.5,1.0276693546348055
572,tours_&_sightseeing,vancouver_city_sightseeing_tour,80.0,0.9898753694926631
1242,private_&_custom_tours,120_minute_private_vacation_photography_session_with_local_photographer_in_santorini,886.09,0.8997830164392631
537,outdoor_activities,call_of_the_wild_atv_tour,156.45,0.8727887904085911
1451,recommended_experiences,whistler_sasquatch_zipline,135.45,0.8615179712496782
244,day_trips_&_excursions,seaplane_flight_to_vancouver_with_bus_tour_from_victoria,439.0,0.8587768011474385
952,water_sports,ultimate_day_tour_to_victoria,363.56,0.8355705932109889
1270,private_&_custom_tours,60_minute_private_vacation_photography_session_with_local_photographer_in_prague,477.13,0.7900040454562172
512,outdoor_activities,nordic_backcountry_skiing_tour_in_jacques-cartier_national_park,89.9,0.75073862617686
377,"food,_wine_&_nightlife",full-day_niagara_ice_wine_festival_tour_with_lunch_and_winery_visits,395.0,0.7245044316134015
1157,multi-day_&_extended_tours,overnight_camping_and_river-rafting_trip_in_squamish,425.24,0.7226747820970174
1005,water_sports,english_bay_jet_ski_tour_from_vancouver,155.68,0.6173562282786584
161,cultural_&_theme_tours,6-hour_eagle_viewing_river_float_trip_from_vancouver_with_lunch,157.49,0.613217608767607
546,outdoor_activities,whistler_sky_walk,124.95,0.5962757524318709
1195,luxury_&_special_occasions,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,98.29,0.5924018976867346
994,water_sports,squamish_elaho_white-water_rafting_from_vancouver,215.24,0.5739872065320327
326,"food,_wine_&_nightlife",tour_and_taste_okanagan's_wine_country,135.45,0.5659593247765805
1182,luxury_&_special_occasions,4-day_yukon_aurora_viewing_tour,702.45,0.5576722809822184
291,"food,_wine_&_nightlife",3-hour_old_chinatown_food_tour_in_toronto,100.0,0.5547390379054651
222,day_trips_&_excursions,3_hour_whale_watching_tour,129.0,0.551763451141922
1531,recommended_experiences,squamish_cheakamus_white-water_rafting_from_whistler,120.74,0.5085469600465228
