,att_cat,att_name,att_price,score
498,tours_&_sightseeing,45-minute_beacon_hill_park_carriage_tour,165.0,5.0
449,tours_&_sightseeing,full-day_niagara_falls_tour_from_toronto,113.0,3.41519320333985
1074,recommended_experiences,laurentian_mountains_day_trip_from_montreal,100.0,3.081564126232425
336,outdoor_activities,vancouver_biking_and_hiking_tour_including_lunch,135.5,2.4825232271140187
1089,recommended_experiences,45-minute_beacon_hill_park_carriage_tour,165.0,2.344211353120933
671,walking_&_biking_tours,electric_bike_tour_of_quebec_city,85.0,1.7626328935876632
959,recommended_experiences,st._lawrence_market_and_old_toronto_food_tour,89.0,1.7106954314514662
303,outdoor_activities,evening_wildlife_safari,58.8,1.6736592272057516
35,"air,_helicopter_&_balloon_tours",victoria_panorama_seaplane_tour,125.0,1.6345600727749459
151,day_trips_&_excursions,ultimate_day_tour_to_victoria,363.56,1.5922972900983645
786,family_friendly,quebec_city_historic_discoverers_cruise,44.83,1.5714939969747177
161,day_trips_&_excursions,3_hour_whale_watching_tour,129.0,1.5489520445975875
530,tours_&_sightseeing,toronto_small-group_city_tour,168.37,1.4357954121970655
43,"cruises,_sailing_&_water_tours",ultimate_day_tour_to_victoria,363.56,1.3366558521911793
396,outdoor_activities,whistler_sky_walk,124.95,1.2600978104449627
837,family_friendly,lift_your_spirits!_distillery_and_cocktail_experience,105.0,1.2352295334797239
467,tours_&_sightseeing,3_hour_whale_watching_tour,129.0,1.185459535180609
712,water_sports,ultimate_day_tour_to_victoria,363.56,1.0554526892377931
447,tours_&_sightseeing,ultimate_day_tour_to_victoria,363.56,0.9451066528971422
320,outdoor_activities,ultimate_day_tour_to_victoria,363.56,0.8837693822060669
877,luxury_&_special_occasions,ultimate_day_tour_to_victoria,363.56,0.8669863560114819
883,luxury_&_special_occasions,3_hour_whale_watching_tour,129.0,0.8507387383255264
50,"cruises,_sailing_&_water_tours",3_hour_whale_watching_tour,129.0,0.8177148131797568
783,family_friendly,ultimate_day_tour_to_victoria,363.56,0.7640544434904836
1148,recommended_experiences,english_bay_jet_ski_tour_from_vancouver,155.68,0.6534934076371649
842,shore_excursions,skagway_shore_excursion:_full-day_tour_of_the_yukon,157.45,0.6505301469927779
338,outdoor_activities,talking_trees_-_indigenous_walking_tour,40.0,0.6440143180119903
289,sightseeing_tickets_&_passes,ultimate_day_tour_to_victoria,363.56,0.6385714709741103
775,family_friendly,medieval_times_dinner_and_tournament_toronto,68.99,0.6051615171894499
6,featured_tours_and_tickets,whistler_small-group_day_trip_from_vancouver,145.0,0.6041817763546402
542,tours_&_sightseeing,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,98.29,0.5915066592515723
847,shore_excursions,4-day_yukon_aurora_viewing_tour,702.45,0.5913505606470625
633,walking_&_biking_tours,ultimate_day_tour_to_victoria,363.56,0.5499197066403316
199,"food,_wine_&_nightlife",vancouver_brewery_tour,83.99,0.5353965642122323
640,walking_&_biking_tours,niagara-on-the-lake_cycle_and_wine-tasting_tour_with_optional_two_course_lunch,77.98,0.5274613651847945
1017,recommended_experiences,ultimate_day_tour_to_victoria,363.56,0.5188403326424682
